net,mu,bwd,k,D_cfg,T,T_max,acl
NN3,1,R,1,1e-08,0.00012642906247664092,0.0001266620036531115,"[64, 51, 49, 63, 32, 1]"
NN3,1,R,1,1e-07,0.0001273290624766409,0.00012756200365311151,"[64, 51, 49, 63, 32, 1]"
NN3,1,R,1,1e-06,0.0001363290624766409,0.00013656200365311152,"[64, 51, 49, 63, 32, 1]"
NN3,1,R,4,1e-09,0.00011370523894722915,0.0001137634742413468,"[64, 51, 49, 63, 32, 1]"
NN3,1,R,4,1e-08,0.00011379523894722914,0.00011385347424134679,"[64, 51, 49, 63, 32, 1]"
NN3,1,R,4,1e-07,0.00011469523894722915,0.0001147534742413468,"[64, 51, 49, 63, 32, 1]"
NN3,1,R,4,1e-06,0.00012369523894722916,0.0001237534742413468,"[64, 51, 49, 63, 32, 1]"
NN3,1,T,1,1e-09,0.00011870338267133234,0.00011870338267133232,"[63, 64, 49, 63, 32, 1]"
NN3,1,T,1,1e-08,0.00011879338267133234,0.00011879338267133232,"[63, 64, 49, 63, 32, 1]"
NN3,1,T,1,1e-07,0.00011969338267133235,0.00011969338267133232,"[63, 64, 49, 63, 32, 1]"
NN3,1,T,1,1e-06,0.00012869338267133232,0.00012869338267133232,"[63, 64, 49, 63, 32, 1]"
NN3,1,T,4,1e-09,0.00011735102973015586,0.00011735102973015586,"[63, 64, 49, 63, 32, 1]"
NN3,1,T,4,1e-08,0.00011744102973015587,0.00011744102973015585,"[63, 64, 49, 63, 32, 1]"
NN3,1,T,4,1e-07,0.00011834102973015585,0.00011834102973015586,"[63, 64, 49, 63, 32, 1]"
NN3,1,T,4,1e-06,0.00012734102973015584,0.00012734102973015584,"[63, 64, 49, 63, 32, 1]"
NN3,8,R,1,1e-09,0.0004546154428375502,0.00045647897224931487,"[64, 51, 49, 63, 32, 1]"
NN3,8,R,1,1e-08,0.0004547054428375501,0.0004565689722493148,"[64, 51, 49, 63, 32, 1]"
NN3,8,R,1,1e-07,0.00045560544283755014,0.0004574689722493149,"[64, 51, 49, 63, 32, 1]"
NN3,8,R,1,1e-06,0.0004646054428375502,0.00046646897224931485,"[64, 51, 49, 63, 32, 1]"
NN3,8,R,4,1e-09,0.0003535189722493149,0.00035398485460225605,"[64, 51, 49, 63, 32, 1]"
NN3,8,R,4,1e-08,0.00035360897224931485,0.00035407485460225605,"[64, 51, 49, 63, 32, 1]"
NN3,8,R,4,1e-07,0.0003545089722493149,0.000354974854602256,"[64, 51, 49, 63, 32, 1]"
NN3,8,R,4,1e-06,0.00036350897224931493,0.000363974854602256,"[64, 51, 49, 63, 32, 1]"
NN3,8,T,1,1e-09,0.0003539924251295587,0.0003539924251295586,"[63, 64, 49, 63, 32, 1]"
NN3,8,T,1,1e-08,0.00035408242512955865,0.0003540824251295586,"[63, 64, 49, 63, 32, 1]"
NN3,8,T,1,1e-07,0.00035498242512955867,0.00035498242512955867,"[63, 64, 49, 63, 32, 1]"
NN3,8,T,1,1e-06,0.00036398242512955867,0.00036398242512955867,"[63, 64, 49, 63, 32, 1]"
