net,mu,lam,bwd,param,value,alloc,T,comm_share,T_max,T_200,T_bestfix,u_bestfix,T_RI
NN2,8,64,T,C,6000000000.0,"[750, 784, 1000, 500, 10]",5.23338667152021e-05,0.04895236824642887,5.239502808817707e-05,0.00018815782398396488,5.239502808817707e-05,1000,5.239502808817707e-05
NN2,8,64,T,C,24000000000.0,"[750, 784, 1000, 500, 10]",1.64748667152021e-05,0.1555015138810289,1.6536028088177077e-05,4.9948073983964913e-05,1.6536028088177077e-05,1000,1.6536028088177077e-05
NN2,8,64,T,B_lam,10000000000.0,"[750, 784, 1000, 500, 10]",0.0002384821346639752,0.02685901875204238,0.00023854329603695019,0.00035903603060725265,0.00023854329603695019,1000,0.00023854329603695019
NN2,8,64,T,B_lam,40000000000.0,"[750, 784, 1000, 500, 10]",0.0002346386052522105,0.010918351276629764,0.00023469976662518548,0.0003543383835484291,0.00023469976662518548,1000,0.00023469976662518548
NN2,8,64,T,ser2,2,"[750, 784, 1000, 500, 10]",0.00023359036995809285,0.006479853691554173,0.00023365153133106785,0.0003530572070778408,0.00023365153133106785,1000,0.00023365153133106785
NN2,32,8,R,D_cfg,1e-09,"[750, 56, 72, 48, 5]",0.0032835132401530477,0.38361324216821757,0.01675588254319986,0.00556225867642204,0.003887669457547705,72,0.0034282787794947625
NN2,32,8,R,D_cfg,1e-08,"[750, 56, 72, 48, 5]",0.003284764240153048,0.3838479926031565,0.016762173543199865,0.0055638516764220415,0.0038882544575477044,72,0.003429790779494763
NN2,32,8,R,D_cfg,1e-07,"[750, 56, 72, 48, 5]",0.003297274240153048,0.3861856997670522,0.016825083543199882,0.0055797816764220414,0.003894104457547705,72,0.003444910779494763
NN2,32,8,R,D_cfg,1e-06,"[502, 56, 72, 48, 5]",0.003416249768787972,0.4001352291961382,0.01745418354319987,0.005739081676422041,0.003952604457547705,72,0.0036002171002322524
NN2,32,8,R,C,1500000000.0,"[750, 112, 143, 100, 10]",0.005524484457846408,0.4629527232863437,0.016712704519247713,0.006668833503019965,0.0063509165099680555,167,0.005784624420592395
NN2,32,8,R,C,6000000000.0,"[750, 56, 72, 56, 5]",0.0027223471189467795,0.48194299316773803,0.016194082519247713,0.004903152503019965,0.003099693516017217,72,0.002810163285043742
NN2,32,8,R,C,24000000000.0,"[750, 32, 40, 24, 5]",0.001368790434345912,0.5189237396680089,0.016064427019247714,0.004461732253019965,0.0015857623010293144,32,0.0014491651302862907
NN2,32,8,R,B_lam,10000000000.0,"[750, 32, 40, 24, 5]",0.006089814058041959,0.46579171101131245,0.06477150530790574,0.01847779991171616,0.007399448441322972,40,0.006592795539859661
NN2,32,8,R,B_lam,40000000000.0,"[750, 56, 72, 48, 5]",0.003284764240153048,0.3838479926031565,0.016762173543199865,0.0055638516764220415,0.0038882544575477044,72,0.003429790779494763
NN2,32,8,R,ser2,2,"[750, 131, 167, 125, 10]",0.001730690803455939,0.32349479991586605,0.003668719425552811,0.0020418657940691,0.0020011343548967946,167,0.0024325060736124096
NN2,32,8,T,D_cfg,1e-09,"[750, 784, 1000, 500, 10]",0.0007832884941936626,0.05516381348827797,0.0007834909506872276,0.0013335830755136567,0.0007834909506872276,1000,0.0007834909506872276
NN2,32,8,T,D_cfg,1e-08,"[750, 784, 1000, 500, 10]",0.0007893004941936627,0.06236050878378956,0.0007897819506872274,0.0013351760755136567,0.0007897819506872274,1000,0.0007897819506872274
NN2,32,8,T,D_cfg,1e-07,"[750, 784, 1000, 500, 10]",0.0008494204941936627,0.12872444348662518,0.0008526919506872275,0.0013511060755136567,0.0008526919506872275,1000,0.0008769153778243788
NN2,32,8,T,D_cfg,1e-06,"[750, 392, 336, 252, 10]",0.0012503973721903444,0.3059715495381222,0.0014817919506872285,0.0015104060755136567,0.0013121331264687461,392,0.0013626210680553145
NN2,32,8,T,C,1500000000.0,"[750, 784, 1000, 500, 10]",0.0007883091804012133,0.06243892831003441,0.0007887906368947781,0.002867802130470944,0.0007887906368947781,1000,0.0007887906368947781
NN2,32,8,T,C,6000000000.0,"[750, 784, 1000, 500, 10]",0.00023987318040121335,0.2051966806747036,0.0002403546368947782,0.0007539911304709446,0.0002403546368947782,1000,0.0002403546368947782
