method,family,reuse,alloc,T,comp,comm,commF,commB,D_init,E_laser,E_tune,E_dyn,E_leak,E_net,E_comp,E_total,flops,slotsF,slotsB,maxroute,maxfan,wire_bytes,sram_peak,Z,Rrun,Hmax,cores_used,local_frac,relaxed_real,net,mu,lam,bwd,sweeps,evals,u
BESTFIX,RRM,-1,"[167, 167, 10]",9.268205744308099e-05,5.570603568175499e-05,3.6731021761326e-05,8.490982952789763e-07,3.5881923466047024e-05,2.45e-07,6.175922034945322e-07,5.242428711660049e-05,1.6918080000000002e-05,4.3931295228020385e-05,0.00011389125454811541,8.92507e-05,0.0002031419545481154,8925070.0,42.0,23.0,333.0,167.0,1388000.0,81728.0,1356,2,5.609046253532869e-05,344,0.0,,NN1,1,8,R,,,167
MAX,ORRM,-1,"[1000, 500, 10]",0.00015368937207033633,4.57171444343036e-05,0.00010772722763603274,3.222767437967331e-06,0.0001045044601980654,2.45e-07,1.828120747769809e-06,0.0009098403190221124,4.94755008e-05,7.284876236133941e-05,0.0010339927029312215,9.258069999999999e-05,0.0011265734029312214,9258070.0,188.0,65.0,500.0,999.0,4047920.0,48600.0,3980,6,0.00015344437207033635,1000,0.00100990099009901,,NN1,1,8,R,,,
F200,ORRM,-1,"[200, 200, 10]",9.933490220514393e-05,5.568787540810007e-05,4.340202679704386e-05,9.867915019730083e-07,4.2415235295070855e-05,2.45e-07,7.359206530801728e-07,7.478567241641734e-05,2.0149440000000003e-05,4.708474364523822e-05,0.00014275577671473574,8.95807e-05,0.00023233647671473575,8958070.0,50.0,27.0,399.0,200.0,1652000.0,69152.0,1620,2,6.265974392578589e-05,410,0.0,,NN1,1,8,R,,,
BESTFIX,ORRM,-1,"[167, 167, 10]",9.268205744308099e-05,5.570603568175499e-05,3.6731021761326e-05,8.490982952789763e-07,3.5881923466047024e-05,2.45e-07,6.175922034945322e-07,5.242428711660049e-05,1.6918080000000002e-05,4.3931295228020385e-05,0.00011389125454811541,8.92507e-05,0.0002031419545481154,8925070.0,42.0,23.0,333.0,167.0,1388000.0,81728.0,1356,2,5.609046253532869e-05,344,0.0,,NN1,1,8,R,,,167
RI,FM,-1,"[1000, 500, 10]",4.339032402574255e-05,4.2565193723066915e-05,5.801303026756323e-07,4.1600988726046495e-07,1.641204154151674e-07,2.45e-07,7.582789955420445e-08,1.9984724512556612e-05,2.3994272000000002e-05,2.0567013588201966e-05,6.462183800031278e-05,0.00010774569999999999,0.00017236753800031277,10774570.0,24.0,9.0,500.0,999.0,16080.0,44760.0,3980,6,4.3145324025742545e-05,1000,0.00100990099009901,"[3698.231826083349, 1631.0812228565608, 363.9975579893665]",NN1,1,64,T,,,
CS,FM,-1,"[1000, 500, 10]",4.339032402574255e-05,4.2565193723066915e-05,5.801303026756323e-07,4.1600988726046495e-07,1.641204154151674e-07,2.45e-07,7.582789955420445e-08,1.9984724512556612e-05,2.3994272000000002e-05,2.0567013588201966e-05,6.462183800031278e-05,0.00010774569999999999,0.00017236753800031277,10774570.0,24.0,9.0,500.0,999.0,16080.0,44760.0,3980,6,4.3145324025742545e-05,1000,0.00100990099009901,,NN1,1,64,T,1,1508,
CS,RRM,-1,"[1000, 500, 10]",4.339021811247104e-05,4.2565193723066915e-05,5.80024389404125e-07,4.158951478829987e-07,1.6412924152112633e-07,2.45e-07,7.591203970492166e-08,1.998560189942593e-05,2.3994745600000002e-05,2.0566963385311273e-05,6.462322292444212e-05,0.00010774569999999999,0.0001723689229244421,10774570.0,24.0,9.0,500.0,999.0,16080.0,40752.0,4020,2,3.19169815300798e-05,1000,0.0009900990099009901,,NN1,1,64,T,1,1508,
CS,ORRM,256,"[1000, 500, 10]",4.338873532666994e-05,4.2565193723066915e-05,5.785416036030225e-07,4.144211881878551e-07,1.641204154151674e-07,2.45e-07,7.581013789857267e-08,1.9980194386930304e-05,2.3994272000000002e-05,2.056626054484155e-05,6.461653706967043e-05,0.00010774569999999999,0.00017236223706967041,10774570.0,24.0,9.0,500.0,999.0,16080.0,44760.0,3980,6,4.314373532666994e-05,1000,0.00100990099009901,,NN1,1,64,T,,,
CS_Er,ORRM,-1,"[1000, 500, 10]",4.33887441527759e-05,4.2565193723066915e-05,5.785504297089814e-07,4.14430014293814e-07,1.641204154151674e-07,2.45e-07,7.581089694368512e-08,1.9980388031695044e-05,2.3994272000000002e-05,2.0566264728415776e-05,6.461673565705451e-05,0.00010774569999999999,0.0001723624356570545,10774570.0,24.0,9.0,500.0,999.0,16080.0,44760.0,3980,6,4.3143744152775896e-05,1000,0.00100990099009901,,NN1,1,64,T,,,
CSE,FM,-1,"[250, 84, 10]",5.6639322458499455e-05,5.6219498487257716e-05,1.7482397124173934e-07,1.1584910975508341e-07,5.897486148665593e-08,2.45e-07,1.8053992956845734e-08,9.784284167418918e-07,5.16758272e-06,2.684703884532874e-05,3.301110397502748e-05,0.00010774569999999999,0.00014075680397502747,10774570.0,6.0,3.0,249.0,249.0,16080.0,156184.0,980,6,5.639432245849945e-05,250,0.004449438202247191,,NN1,1,64,T,,,
BESTFIXE,FM,-1,"[167, 167, 10]",5.5509939845531275e-05,5.507517142942098e-05,1.8976841611028984e-07,1.192520998859504e-07,7.051631622433943e-08,2.45e-07,2.1176235138168487e-08,1.2885389321946317e-06,6.154944e-06,2.6311711486781823e-05,3.377637065411462e-05,0.00010774569999999999,0.0001415220706541146,10774570.0,6.0,4.0,166.0,166.0,16080.0,138000.0,648,6,5.5264939845531266e-05,167,0.005988372093023255,,NN1,1,64,T,,,167
MAX,FM,-1,"[1000, 500, 10]",4.339032402574255e-05,4.2565193723066915e-05,5.801303026756323e-07,4.1600988726046495e-07,1.641204154151674e-07,2.45e-07,7.582789955420445e-08,1.9984724512556612e-05,2.3994272000000002e-05,2.0567013588201966e-05,6.462183800031278e-05,0.00010774569999999999,0.00017236753800031277,10774570.0,24.0,9.0,500.0,999.0,16080.0,44760.0,3980,6,4.3145324025742545e-05,1000,0.00100990099009901,,NN1,1,64,T,,,
